"","first_time"
"1","Yes"
"2","Yes"
"3","Yes"
"4","No"
"5","Yes"
"6","Yes"
"7","Yes"
"8","Yes"
"9","Yes"
"10",""
"11",""
"12","Yes"
"13","No"
"14","Yes"
"15",""
"16",""
"17","Yes"
"18","Yes"
"19","Yes"
"20","Yes"
"21","Yes"
"22","Yes"
"23","Yes"
"24","Yes"
"25","Yes"
"26","Yes"
"27","Yes"
"28","Yes"
"29","Yes"
"30","Yes"
"31","Yes"
"32","Yes"
"33","Yes"
"34","Yes"
"35","Yes"
"36","Yes"
"37","Yes"
"38",""
"39","Yes"
"40","Yes"
"41","Yes"
"42","Yes"
"43","Yes"
"44","Yes"
"45","Yes"
"46","Yes"
"47","Yes"
"48","Yes"
"49","Yes"
"50","No"
"51","Yes"
"52","Yes"
"53","Yes"
"54","Yes"
"55","Yes"
"56","Yes"
"57","Yes"
"58","Yes"
"59","Yes"
"60","Yes"
"61","Yes"
"62","Yes"
"63","Yes"
"64","Yes"
"65","Yes"
"66","Yes"
"67","Yes"
"68","Yes"
"69","Yes"
"70","Yes"
"71","Yes"
"72","Yes"
"73","Yes"
"74","No"
"75","Yes"
"76","Yes"
"77","Yes"
"78","Yes"
"79","Yes"
"80","Yes"
"81","Yes"
"82","Yes"
"83","Yes"
"84","Yes"
"85","Yes"
"86","Yes"
"87","Yes"
"88","Yes"
"89","Yes"
"90","Yes"
"91","Yes"
"92","Yes"
"93","Yes"
"94","Yes"
"95","Yes"
"96","Yes"
"97","Yes"
"98","Yes"
"99","Yes"
"100","Yes"
"101","Yes"
"102","Yes"
"103","Yes"
"104","Yes"
"105","Yes"
"106","Yes"
"107","Yes"
"108","Yes"
"109","Yes"
"110","Yes"
"111","Yes"
"112","Yes"
"113","Yes"
"114","Yes"
"115","Yes"
"116","Yes"
"117","Yes"
"118","Yes"
"119","No"
"120","Yes"
"121","Yes"
"122","Yes"
"123","Yes"
"124",""
"125","Yes"
"126","Yes"
"127","No"
"128","Yes"
"129","Yes"
"130","Yes"
"131","Yes"
"132","Yes"
"133","Yes"
"134","Yes"
"135","No"
